code;nom;type;numero_tva;pays
C0001;ROUSSEL;CLIENT;LU23553393;LU
C0002;JOLY S.A.R.L.;CLIENT;LU28694883;LU
C0003;FAIVRE LELEU ET FILS;CLIENT;BE36692554;BE
C0004;GIMENEZ S.A.;CLIENT;LU82433160;LU
C0005;BARTHELEMY S.A.S.;CLIENT;LU13978445;LU
C0006;FONTAINE LE ROUX SARL;CLIENT;FR90405452;FR
C0007;BONNEAU;CLIENT;DE36159277;DE
C0008;BOUTIN DUMAS ET FILS;CLIENT;LU54581872;LU
C0009;JACQUET SARL;CLIENT;LU92344910;LU
C0010;HENRY;CLIENT;LU92326148;LU
C0011;CHEVALIER SARL;CLIENT;LU40621053;LU
C0012;CORDIER;CLIENT;LU48063585;LU
C0013;AUGER;CLIENT;LU59787436;LU
C0014;BONNIN SA;CLIENT;LU95055710;LU
C0015;JACQUET;CLIENT;LU20549079;LU
C0016;ADAM VERDIER ET FILS;CLIENT;LU46549426;LU
C0017;DIAZ PETITJEAN ET FILS;CLIENT;BE76089681;BE
C0018;BOUVET;CLIENT;LU10615446;LU
C0019;LOUIS PAYET S.A.;CLIENT;LU48061595;LU
C0020;LECLERCQ S.A.S.;CLIENT;LU44092155;LU
C0021;FISCHER;CLIENT;LU95710951;LU
C0022;BRUNEAU S.A.S.;CLIENT;LU41241161;LU
C0023;COLLET;CLIENT;LU27694669;LU
C0024;LESAGE;CLIENT;LU23226965;LU
C0025;REY;CLIENT;LU93067386;LU
C0026;DOS SANTOS BESNARD SA;CLIENT;LU24788045;LU
C0027;JACQUOT ET FILS;CLIENT;BE49713341;BE
C0028;PARENT;CLIENT;LU68130520;LU
F0001;MARQUES;FOURNISSEUR;LU41250775;LU
F0002;ALVES;FOURNISSEUR;DE40231728;DE
F0003;THIBAULT BOUCHET SARL;FOURNISSEUR;LU69073259;LU
F0004;BOURDON S.A.R.L.;FOURNISSEUR;LU22032684;LU
F0005;ROY BOUVIER SARL;FOURNISSEUR;LU54953566;LU
F0006;GILLES CLERC SARL;FOURNISSEUR;LU59326220;LU
F0007;BOUTIN SARL;FOURNISSEUR;LU28975121;LU
F0008;DUVAL;FOURNISSEUR;BE54082792;BE
F0009;ROCHE SARL;FOURNISSEUR;LU91866590;LU
F0010;JACQUES S.A.;FOURNISSEUR;BE34569071;BE
F0011;GUIBERT S.A.;FOURNISSEUR;LU52047056;LU
F0012;GRÉGOIRE;FOURNISSEUR;LU38256389;LU
F0013;FERRAND;FOURNISSEUR;LU23429391;LU
F0014;BOUSQUET;FOURNISSEUR;LU81982369;LU
F0015;LEGRAND BOURDON ET FILS;FOURNISSEUR;FR23989182;FR
F0016;LAPORTE MULLER SA;FOURNISSEUR;LU35244530;LU
F0017;CHAUVEAU S.A.;FOURNISSEUR;LU26610210;LU
F0018;FOUCHER;FOURNISSEUR;FR29431637;FR
F0019;LACOMBE GUIBERT S.A.;FOURNISSEUR;LU97811188;LU
F0020;GRONDIN;FOURNISSEUR;LU81444436;LU
F0021;FOURNIER;FOURNISSEUR;FR78204281;FR
F0022;PHILIPPE;FOURNISSEUR;LU93871442;LU
